"g","home.team","away.team","h.g","a.g","Yg1","Yg2"
"1","Cagliari","Spezia","3","17","2","2"
"2","Sampdoria","Milan","15","11","0","1"
"3","Napoli","Venezia","12","20","2","0"
"4","Inter","Genoa","8","6","4","0"
"5","Bologna","Salernitana","2","14","3","2"
"6","Udinese","Juventus","19","9","2","2"
"7","Torino","Atalanta","18","1","1","2"
"8","Hellas Verona","Sassuolo","7","16","2","3"
"9","Empoli","Lazio","4","10","1","3"
"10","Roma","Fiorentina","13","5","3","1"
"11","Genoa","Napoli","6","12","1","2"
"12","Milan","Cagliari","11","3","4","1"
"13","Udinese","Venezia","19","20","3","0"
"14","Fiorentina","Torino","5","18","2","1"
"15","Sassuolo","Sampdoria","16","15","0","0"
"16","Lazio","Spezia","10","17","6","1"
"17","Atalanta","Bologna","1","2","0","0"
"18","Salernitana","Roma","14","13","0","4"
"19","Juventus","Empoli","9","4","0","1"
"20","Hellas Verona","Inter","7","8","1","3"
"21","Torino","Salernitana","18","14","4","0"
"22","Spezia","Udinese","17","19","0","1"
"23","Cagliari","Genoa","3","6","2","3"
"24","Roma","Sassuolo","13","16","2","1"
"25","Milan","Lazio","11","10","2","0"
"26","Bologna","Hellas Verona","2","7","1","0"
"27","Sampdoria","Inter","15","8","2","2"
"28","Napoli","Juventus","12","9","2","1"
"29","Empoli","Venezia","4","20","1","2"
"30","Atalanta","Fiorentina","1","5","1","2"
"31","Sassuolo","Torino","16","18","0","1"
"32","Lazio","Cagliari","10","3","2","2"
"33","Venezia","Spezia","20","17","1","2"
"34","Udinese","Napoli","19","12","0","4"
"35","Genoa","Fiorentina","6","5","1","2"
"36","Empoli","Sampdoria","4","15","0","3"
"37","Inter","Bologna","8","2","6","1"
"38","Salernitana","Atalanta","14","1","0","1"
"39","Hellas Verona","Roma","7","13","3","2"
"40","Juventus","Milan","9","11","1","1"
"41","Sampdoria","Napoli","15","12","0","4"
"42","Salernitana","Hellas Verona","14","7","2","2"
"43","Atalanta","Sassuolo","1","16","2","1"
"44","Roma","Udinese","13","19","1","0"
"45","Cagliari","Empoli","3","4","0","2"
"46","Fiorentina","Inter","5","8","1","3"
"47","Milan","Venezia","11","20","2","0"
"48","Torino","Lazio","18","10","1","1"
"49","Spezia","Juventus","17","9","2","3"
"50","Bologna","Genoa","2","6","2","2"
"51","Juventus","Sampdoria","9","15","3","2"
"52","Empoli","Bologna","4","2","4","2"
"53","Udinese","Fiorentina","19","5","0","1"
"54","Napoli","Cagliari","12","3","2","0"
"55","Inter","Atalanta","8","1","2","2"
